experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
cal_ensemble_hbv_sa@HBV,KGE,macos_p3repro,0.915739,native_windows,0.915739,0.000000,OK
cal_ensemble_hbv_sceua@HBV,KGE,macos_p3repro,0.916199,native_windows,0.916199,0.000000,OK
cal_ensemble_hechms_abc@HECHMS,KGE,macos_p3repro,0.851098,native_windows,0.851098,0.000000,OK
cal_ensemble_hechms_adam@HECHMS,KGE,macos_p3repro,0.894168,native_windows,0.894169,0.000000,OK
cal_ensemble_hechms_basin_hopping@HECHMS,KGE,macos_p3repro,0.807868,native_windows,0.799577,0.008291,OK
cal_ensemble_hechms_bayesian_opt@HECHMS,KGE,macos_p3repro,0.658404,native_windows,0.658404,0.000000,OK
cal_ensemble_hechms_cmaes@HECHMS,KGE,macos_p3repro,0.878798,native_windows,0.879490,0.000692,OK
cal_ensemble_hechms_dds@HECHMS,KGE,macos_p3repro,0.906937,native_windows,0.906937,0.000000,OK
cal_ensemble_hechms_de@HECHMS,KGE,macos_p3repro,0.912730,native_windows,0.912730,0.000000,OK
cal_ensemble_hechms_dream@HECHMS,KGE,macos_p3repro,0.833018,native_windows,0.833018,0.000000,OK
cal_ensemble_hechms_ga@HECHMS,KGE,macos_p3repro,0.840899,native_windows,0.874822,0.033923,DIFF
cal_ensemble_hechms_glue@HECHMS,KGE,macos_p3repro,0.741996,native_windows,0.741996,0.000000,OK
cal_ensemble_hype_ga@HYPE,KGE,macos_p3repro,0.741416,native_windows,0.054442,0.686974,DIFF
domain_Bow_at_Banff_distributed:catchment/distributed/Bow_at_Banff_distributed/Bow_at_Banff_distributed_HRUs_GRUs.shp,n_features,macos_p3repro,2332.000000,native_windows,2332.000000,0.000000,OK
domain_Bow_at_Banff_distributed:river_basins/Bow_at_Banff_distributed_riverBasins_distributed_1000m.shp,n_features,macos_p3repro,2332.000000,native_windows,2332.000000,0.000000,OK
domain_Bow_at_Banff_distributed:river_network/Bow_at_Banff_distributed_riverNetwork_distributed_1000m.shp,n_features,macos_p3repro,2332.000000,native_windows,2332.000000,0.000000,OK
domain_Bow_at_Banff_lumped:catchment/lumped/pipeline_bow/Bow_at_Banff_lumped_HRUs_GRUs.shp,n_features,macos_p3repro,1.000000,native_windows,1.000000,0.000000,OK
domain_Bow_at_Banff_lumped:river_basins/Bow_at_Banff_lumped_riverBasins_lumped.shp,n_features,macos_p3repro,1.000000,native_windows,1.000000,0.000000,OK
domain_Bow_at_Banff_lumped:river_network/Bow_at_Banff_lumped_riverNetwork_lumped.shp,n_features,macos_p3repro,1.000000,native_windows,1.000000,0.000000,OK
